HoraID,Hora,Turno
228,03:47:00,Madrugada
229,03:48:00,Madrugada
230,03:49:00,Madrugada
231,03:50:00,Madrugada
232,03:51:00,Madrugada
233,03:52:00,Madrugada
234,03:53:00,Madrugada
235,03:54:00,Madrugada
236,03:55:00,Madrugada
237,03:56:00,Madrugada
238,03:57:00,Madrugada
239,03:58:00,Madrugada
240,03:59:00,Madrugada
241,04:00:00,Madrugada
242,04:01:00,Madrugada
243,04:02:00,Madrugada
244,04:03:00,Madrugada
245,04:04:00,Madrugada
246,04:05:00,Madrugada
247,04:06:00,Madrugada
248,04:07:00,Madrugada
249,04:08:00,Madrugada
250,04:09:00,Madrugada
251,04:10:00,Madrugada
252,04:11:00,Madrugada
253,04:12:00,Madrugada
254,04:13:00,Madrugada
255,04:14:00,Madrugada
256,04:15:00,Madrugada
257,04:16:00,Madrugada
258,04:17:00,Madrugada
259,04:18:00,Madrugada
260,04:19:00,Madrugada
261,04:20:00,Madrugada
262,04:21:00,Madrugada
263,04:22:00,Madrugada
264,04:23:00,Madrugada
265,04:24:00,Madrugada
266,04:25:00,Madrugada
267,04:26:00,Madrugada
268,04:27:00,Madrugada
269,04:28:00,Madrugada
270,04:29:00,Madrugada
271,04:30:00,Madrugada
272,04:31:00,Madrugada
273,04:32:00,Madrugada
274,04:33:00,Madrugada
275,04:34:00,Madrugada
276,04:35:00,Madrugada
277,04:36:00,Madrugada
278,04:37:00,Madrugada
279,04:38:00,Madrugada
280,04:39:00,Madrugada
281,04:40:00,Madrugada
282,04:41:00,Madrugada
283,04:42:00,Madrugada
284,04:43:00,Madrugada
285,04:44:00,Madrugada
286,04:45:00,Madrugada
287,04:46:00,Madrugada
288,04:47:00,Madrugada
289,04:48:00,Madrugada
290,04:49:00,Madrugada
291,04:50:00,Madrugada
292,04:51:00,Madrugada
293,04:52:00,Madrugada
294,04:53:00,Madrugada
295,04:54:00,Madrugada
296,04:55:00,Madrugada
297,04:56:00,Madrugada
298,04:57:00,Madrugada
299,04:58:00,Madrugada
300,04:59:00,Madrugada
301,05:00:00,Manhã
302,05:01:00,Manhã
303,05:02:00,Manhã
304,05:03:00,Manhã
305,05:04:00,Manhã
306,05:05:00,Manhã
307,05:06:00,Manhã
308,05:07:00,Manhã
309,05:08:00,Manhã
310,05:09:00,Manhã
311,05:10:00,Manhã
312,05:11:00,Manhã
313,05:12:00,Manhã
314,05:13:00,Manhã
315,05:14:00,Manhã
316,05:15:00,Manhã
317,05:16:00,Manhã
318,05:17:00,Manhã
319,05:18:00,Manhã
320,05:19:00,Manhã
321,05:20:00,Manhã
322,05:21:00,Manhã
323,05:22:00,Manhã
324,05:23:00,Manhã
325,05:24:00,Manhã
326,05:25:00,Manhã
327,05:26:00,Manhã
328,05:27:00,Manhã
329,05:28:00,Manhã
330,05:29:00,Manhã
331,05:30:00,Manhã
332,05:31:00,Manhã
333,05:32:00,Manhã
334,05:33:00,Manhã
335,05:34:00,Manhã
336,05:35:00,Manhã
337,05:36:00,Manhã
338,05:37:00,Manhã
339,05:38:00,Manhã
340,05:39:00,Manhã
341,05:40:00,Manhã
342,05:41:00,Manhã
343,05:42:00,Manhã
344,05:43:00,Manhã
345,05:44:00,Manhã
346,05:45:00,Manhã
347,05:46:00,Manhã
348,05:47:00,Manhã
349,05:48:00,Manhã
350,05:49:00,Manhã
351,05:50:00,Manhã
352,05:51:00,Manhã
353,05:52:00,Manhã
354,05:53:00,Manhã
355,05:54:00,Manhã
356,05:55:00,Manhã
357,05:56:00,Manhã
358,05:57:00,Manhã
359,05:58:00,Manhã
360,05:59:00,Manhã
361,06:00:00,Manhã
362,06:01:00,Manhã
363,06:02:00,Manhã
364,06:03:00,Manhã
365,06:04:00,Manhã
366,06:05:00,Manhã
367,06:06:00,Manhã
368,06:07:00,Manhã
369,06:08:00,Manhã
370,06:09:00,Manhã
371,06:10:00,Manhã
372,06:11:00,Manhã
373,06:12:00,Manhã
374,06:13:00,Manhã
375,06:14:00,Manhã
376,06:15:00,Manhã
377,06:16:00,Manhã
378,06:17:00,Manhã
379,06:18:00,Manhã
380,06:19:00,Manhã
381,06:20:00,Manhã
382,06:21:00,Manhã
383,06:22:00,Manhã
384,06:23:00,Manhã
385,06:24:00,Manhã
386,06:25:00,Manhã
387,06:26:00,Manhã
388,06:27:00,Manhã
389,06:28:00,Manhã
390,06:29:00,Manhã
391,06:30:00,Manhã
392,06:31:00,Manhã
393,06:32:00,Manhã
394,06:33:00,Manhã
395,06:34:00,Manhã
396,06:35:00,Manhã
397,06:36:00,Manhã
398,06:37:00,Manhã
399,06:38:00,Manhã
400,06:39:00,Manhã
401,06:40:00,Manhã
402,06:41:00,Manhã
403,06:42:00,Manhã
404,06:43:00,Manhã
405,06:44:00,Manhã
406,06:45:00,Manhã
407,06:46:00,Manhã
408,06:47:00,Manhã
409,06:48:00,Manhã
410,06:49:00,Manhã
411,06:50:00,Manhã
412,06:51:00,Manhã
413,06:52:00,Manhã
414,06:53:00,Manhã
415,06:54:00,Manhã
416,06:55:00,Manhã
417,06:56:00,Manhã
418,06:57:00,Manhã
419,06:58:00,Manhã
420,06:59:00,Manhã
421,07:00:00,Manhã
422,07:01:00,Manhã
423,07:02:00,Manhã
424,07:03:00,Manhã
425,07:04:00,Manhã
426,07:05:00,Manhã
427,07:06:00,Manhã
428,07:07:00,Manhã
429,07:08:00,Manhã
430,07:09:00,Manhã
431,07:10:00,Manhã
432,07:11:00,Manhã
433,07:12:00,Manhã
434,07:13:00,Manhã
435,07:14:00,Manhã
436,07:15:00,Manhã
437,07:16:00,Manhã
438,07:17:00,Manhã
439,07:18:00,Manhã
440,07:19:00,Manhã
441,07:20:00,Manhã
442,07:21:00,Manhã
443,07:22:00,Manhã
444,07:23:00,Manhã
445,07:24:00,Manhã
446,07:25:00,Manhã
447,07:26:00,Manhã
448,07:27:00,Manhã
449,07:28:00,Manhã
450,07:29:00,Manhã
451,07:30:00,Manhã
452,07:31:00,Manhã
453,07:32:00,Manhã
454,07:33:00,Manhã
455,07:34:00,Manhã
456,07:35:00,Manhã
457,07:36:00,Manhã
458,07:37:00,Manhã
459,07:38:00,Manhã
460,07:39:00,Manhã
461,07:40:00,Manhã
462,07:41:00,Manhã
463,07:42:00,Manhã
464,07:43:00,Manhã
465,07:44:00,Manhã
466,07:45:00,Manhã
467,07:46:00,Manhã
468,07:47:00,Manhã
469,07:48:00,Manhã
470,07:49:00,Manhã
471,07:50:00,Manhã
472,07:51:00,Manhã
473,07:52:00,Manhã
474,07:53:00,Manhã
475,07:54:00,Manhã
476,07:55:00,Manhã
477,07:56:00,Manhã
478,07:57:00,Manhã
479,07:58:00,Manhã
480,07:59:00,Manhã
481,08:00:00,Manhã
482,08:01:00,Manhã
