DADO COMPLETO,CEP,RUA,BAIRRO,TIPO DE SUBDIVISAO,SUBDIVISÕES,MUNICIPIO,ESTADO
51150010Avenida RPA 06 | Sul Governador Cid Sampaio,51150010,Avenida RPA 06 | Sul Governador Cid Sampaio,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150020Rua Professora Rosilda Costa,51150020,Rua Professora Rosilda Costa,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150021Travessa Professora Rosilda Costa,51150021,Travessa Professora Rosilda Costa,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150030Rua Engenho Agua Doce,51150030,Rua Engenho Agua Doce,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150040Rua Engenho Agua Clara,51150040,Rua Engenho Agua Clara,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150050Rua Engenho Barra Nova,51150050,Rua Engenho Barra Nova,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150060Rua Engenho Bom Recreio,51150060,Rua Engenho Bom Recreio,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150070Rua Doutor Valdir Pessoa,51150070,Rua Doutor Valdir Pessoa,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150080Rua Engenho Canto Alegre,51150080,Rua Engenho Canto Alegre,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150090Rua Engenho Crimeia,51150090,Rua Engenho Crimeia,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150100Rua Engenho Carauna,51150100,Rua Engenho Carauna,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150110Rua Engenho Capelinha,51150110,Rua Engenho Capelinha,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150120Rua Engenho Camboinha,51150120,Rua Engenho Camboinha,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150130Rua Engenho Cangaca,51150130,Rua Engenho Cangaca,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150140Rua Engenho Araci,51150140,Rua Engenho Araci,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150150Rua Manoel Serafim do Couto,51150150,Rua Manoel Serafim do Couto,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150160Avenida Contorno,51150160,Avenida Contorno,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150170Rua Publicitario Colombo Campos,51150170,Rua Publicitario Colombo Campos,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150185Rua Sao Jose,51150185,Rua Sao Jose,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150187Rua Sao Jorge,51150187,Rua Sao Jorge,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150190Rua Jacy,51150190,Rua Jacy,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150191Rua Sao Paulo,51150191,Rua Sao Paulo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150192Rua Sao Marcos,51150192,Rua Sao Marcos,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511501931a Travessa Sao Marcos,51150193,1a Travessa Sao Marcos,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150194Rua Sao Geraldo,51150194,Rua Sao Geraldo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150195Rua Principal,51150195,Rua Principal,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150196Rua da Mare,51150196,Rua da Mare,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150197Rua Beira Rio,51150197,Rua Beira Rio,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150198Rua Santo Antonio,51150198,Rua Santo Antonio,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150199Rua Alegria,51150199,Rua Alegria,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150200Rua Arruda Camara,51150200,Rua Arruda Camara,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150203Vila Neto,51150203,Vila Neto,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150205Rua do Viveiro,51150205,Rua do Viveiro,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150210Rua Muricilandia,51150210,Rua Muricilandia,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150220Rua Brasilia,51150220,Rua Brasilia,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150222Rua Um,51150222,Rua Um,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150224Rua Dois,51150224,Rua Dois,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150226Rua Tres,51150226,Rua Tres,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150228Rua Quatro,51150228,Rua Quatro,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150230Rua Cafezopolis,51150230,Rua Cafezopolis,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150232Rua Cinco,51150232,Rua Cinco,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150234Rua Seis,51150234,Rua Seis,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150236Rua Sete,51150236,Rua Sete,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150238Rua Oito,51150238,Rua Oito,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150240Rua Cafezal,51150240,Rua Cafezal,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150242Rua Fernando Jose de Melo Correia,51150242,Rua Fernando Jose de Melo Correia,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150244Rua Luiz Gonzaga Vasconcelos,51150244,Rua Luiz Gonzaga Vasconcelos,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150246Rua Ministro Fernando Lyra,51150246,Rua Ministro Fernando Lyra,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150248Rua Severino Augusto de Oliveira,51150248,Rua Severino Augusto de Oliveira,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150250Estrada do Paiol,51150250,Estrada do Paiol,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150252Rua Josita de Almeida,51150252,Rua Josita de Almeida,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150254Rua Jose Carlos Guerra,51150254,Rua Jose Carlos Guerra,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150256Rua Quinze,51150256,Rua Quinze,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150258Rua Geraldo de Magalhaes Melo,51150258,Rua Geraldo de Magalhaes Melo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150260Rua Artur Moura,51150260,Rua Artur Moura,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150270Estrada Velha do Frigorifico,51150270,Estrada Velha do Frigorifico,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511502722a Travessa Estrada Velha do Frigorifico,51150272,2a Travessa Estrada Velha do Frigorifico,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150280Rua Bartolomeu Bueno,51150280,Rua Bartolomeu Bueno,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150290Rua Sargento Silvio Delmar Hollembach,51150290,Rua Sargento Silvio Delmar Hollembach,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150300Rua Philarette Carneiro Nobre de Lacerda,51150300,Rua Philarette Carneiro Nobre de Lacerda,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150310Rua Conde Pereira Carneiro,51150310,Rua Conde Pereira Carneiro,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150311Travessa Conde Pereira Carneiro,51150311,Travessa Conde Pereira Carneiro,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511503151a Travessa Conde Pereira Carneiro,51150315,1a Travessa Conde Pereira Carneiro,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150320Rua Antonio Eduardo Amorim,51150320,Rua Antonio Eduardo Amorim,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150321Travessa Antonio Eduardo Amorim,51150321,Travessa Antonio Eduardo Amorim,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150330Rua Almeida Junior,51150330,Rua Almeida Junior,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150331Travessa Almeida Junior,51150331,Travessa Almeida Junior,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150340Travessa Brasilia,51150340,Travessa Brasilia,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150350Rua Manoel L. de F. Caldas,51150350,Rua Manoel L. de F. Caldas,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150360Rua Itajuba,51150360,Rua Itajuba,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150370Rua Itauba,51150370,Rua Itauba,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150380Rua Quatorze de Novembro,51150380,Rua Quatorze de Novembro,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150390Rua Ipomeia,51150390,Rua Ipomeia,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150400Avenida General Mac Arthur,51150400,Avenida General Mac Arthur,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511504054a Travessa General Mac Arthur,51150405,4a Travessa General Mac Arthur,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150410Rua Joaquim Bandeira,51150410,Rua Joaquim Bandeira,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150420Vila Nossa Senhora de Fatima,51150420,Vila Nossa Senhora de Fatima,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150430Rua Jose da Silva Lucena,51150430,Rua Jose da Silva Lucena,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150440Rua Uruguajara,51150440,Rua Uruguajara,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150450Rua Jaticy,51150450,Rua Jaticy,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511504513a Travessa Jaticy,51150451,3a Travessa Jaticy,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150460Rua Jalisco,51150460,Rua Jalisco,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150470Rua Guadalajara,51150470,Rua Guadalajara,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150480Rua Almeida,51150480,Rua Almeida,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150481Travessa Almeida,51150481,Travessa Almeida,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511504901a Travessa dos Tijolos,51150490,1a Travessa dos Tijolos,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150500Rua da Comunidade,51150500,Rua da Comunidade,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150510Rua Dezoito de Dezembro,51150510,Rua Dezoito de Dezembro,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150520Rua da Luta,51150520,Rua da Luta,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150530Rua Nosso Chao,51150530,Rua Nosso Chao,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150540Rua Flor do Una,51150540,Rua Flor do Una,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150550Rua Joao Fontes,51150550,Rua Joao Fontes,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150560Rua Joao Pedro da Silva,51150560,Rua Joao Pedro da Silva,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150570Rua Maria Vicentina da Silva,51150570,Rua Maria Vicentina da Silva,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150580Rua Nestor Moreira,51150580,Rua Nestor Moreira,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150670Rua Sandalo,51150670,Rua Sandalo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150680Rua Verbena,51150680,Rua Verbena,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150690Rua Itapagipe,51150690,Rua Itapagipe,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150700Rua Coronel Fabriciano,51150700,Rua Coronel Fabriciano,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150710Rua Ilha de Deus,51150710,Rua Ilha de Deus,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150720Rua Canaa,51150720,Rua Canaa,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150725Rua Sao Sebastiao,51150725,Rua Sao Sebastiao,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150730Rua Padre Arruda Camara,51150730,Rua Padre Arruda Camara,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150735Rua Valdir Nogueira Lima,51150735,Rua Valdir Nogueira Lima,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150740Rua Apolo Ruiz Lopes,51150740,Rua Apolo Ruiz Lopes,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150745Rua Irineu Dias,51150745,Rua Irineu Dias,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150750Travessa Sao Francisco,51150750,Travessa Sao Francisco,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150760Rua Planalto,51150760,Rua Planalto,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150770Rua Bela Vista,51150770,Rua Bela Vista,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150780Rua Ilha Santo Antonio,51150780,Rua Ilha Santo Antonio,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150790Rua Angelim,51150790,Rua Angelim,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150901Avenida Marechal Mascarenhas de Moraes 5653,51150901,Avenida Marechal Mascarenhas de Moraes 5653,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150902Avenida Marechal Mascarenhas de Moraes 5653,51150902,Avenida Marechal Mascarenhas de Moraes 5653,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150903Avenida Marechal Mascarenhas de Moraes 5865,51150903,Avenida Marechal Mascarenhas de Moraes 5865,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150904Avenida Marechal Mascarenhas de Moraes 533,51150904,Avenida Marechal Mascarenhas de Moraes 533,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150905Avenida Marechal Mascarenhas de Moraes 2967,51150905,Avenida Marechal Mascarenhas de Moraes 2967,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51150906Avenida Marechal Mascarenhas de Moraes 533,51150906,Avenida Marechal Mascarenhas de Moraes 533,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160000Avenida RPA 06 | Sul Governador Cid Sampaio,51160000,Avenida RPA 06 | Sul Governador Cid Sampaio,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160010Estrada Velha do Frigorifico,51160010,Estrada Velha do Frigorifico,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160020Rua Joao de Barros Correa,51160020,Rua Joao de Barros Correa,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160030Rua Moises Correa da Silva,51160030,Rua Moises Correa da Silva,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160040Rua Mendes Junior,51160040,Rua Mendes Junior,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160050Rua Roca Sales,51160050,Rua Roca Sales,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160060Rua Sargento Silvino Macedo,51160060,Rua Sargento Silvino Macedo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511600611a Travessa Sargento Silvino Macedo,51160061,1a Travessa Sargento Silvino Macedo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511600622a Travessa Sargento Silvino Macedo,51160062,2a Travessa Sargento Silvino Macedo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511600633a Travessa Sargento Silvino Macedo,51160063,3a Travessa Sargento Silvino Macedo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511600644a Travessa Sargento Silvino Macedo,51160064,4a Travessa Sargento Silvino Macedo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511600655a Travessa Sargento Silvino Macedo,51160065,5a Travessa Sargento Silvino Macedo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511600686a Travessa Sargento Silvino Macedo,51160068,6a Travessa Sargento Silvino Macedo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160070Rua Jorge de Lima,51160070,Rua Jorge de Lima,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160080Rua Monsenhor Tabosa,51160080,Rua Monsenhor Tabosa,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160090Rua Farias Lemos,51160090,Rua Farias Lemos,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511600911a Travessa Farias de Lemos,51160091,1a Travessa Farias de Lemos,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511600922a Travessa Farias de Lemos,51160092,2a Travessa Farias de Lemos,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160100Rua Duque Estrada,51160100,Rua Duque Estrada,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160110Rua Muniz Freire,51160110,Rua Muniz Freire,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511601111a Travessa Muniz Freire,51160111,1a Travessa Muniz Freire,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511601122a Travessa Muniz Freire,51160112,2a Travessa Muniz Freire,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160120Rua Estela Borges,51160120,Rua Estela Borges,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160130Rua Conde de Alegrete,51160130,Rua Conde de Alegrete,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160140Rua Guarabira,51160140,Rua Guarabira,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160150Rua Magalhaes de Almeida,51160150,Rua Magalhaes de Almeida,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160170Rua Antonio Paes Barreto,51160170,Rua Antonio Paes Barreto,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160171Travessa Antonio Paes Barreto,51160171,Travessa Antonio Paes Barreto,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160180Rua Tenente Manoel Barbosa,51160180,Rua Tenente Manoel Barbosa,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160190Rua Jornalista Jose Edson,51160190,Rua Jornalista Jose Edson,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160200Rua Senador Barros de Carvalho,51160200,Rua Senador Barros de Carvalho,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160210Rua Professor Pedro Augusto Carneiro Leao,51160210,Rua Professor Pedro Augusto Carneiro Leao,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160220Rua Presidente Nilo Pecanha,51160220,Rua Presidente Nilo Pecanha,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160230Rua Joao Murilo de Oliveira,51160230,Rua Joao Murilo de Oliveira,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160250Rua Conde Pereira Carneiro,51160250,Rua Conde Pereira Carneiro,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160260Rua Manoel de Abreu,51160260,Rua Manoel de Abreu,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511602611a Travessa Manoel de Abreu,51160261,1a Travessa Manoel de Abreu,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511602622a Travessa Manoel de Abreu,51160262,2a Travessa Manoel de Abreu,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511602633a Travessa Manoel de Abreu,51160263,3a Travessa Manoel de Abreu,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
511602644a Travessa Manoel de Abreu,51160264,4a Travessa Manoel de Abreu,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160270Rua Manoel Cavalcanti Bezerra,51160270,Rua Manoel Cavalcanti Bezerra,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160280Avenida General Mac Arthur,51160280,Avenida General Mac Arthur,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160290Rua Joaquim Bandeira,51160290,Rua Joaquim Bandeira,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160310Rua Munhoz de Melo,51160310,Rua Munhoz de Melo,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160320Rua Sargento Jose de Souza,51160320,Rua Sargento Jose de Souza,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160330Avenida Antonio Torres Galvao,51160330,Avenida Antonio Torres Galvao,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160350Rua Jose da Silva Lucena,51160350,Rua Jose da Silva Lucena,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160360Rua Sao Judas Tadeu,51160360,Rua Sao Judas Tadeu,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160370Rua Sargento Severino Barbosa,51160370,Rua Sargento Severino Barbosa,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160380Rua Soldado Sinesio de Aragao,51160380,Rua Soldado Sinesio de Aragao,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160390Rua Adalberto Marroquim,51160390,Rua Adalberto Marroquim,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160400Rua Alameda das Hortencias,51160400,Rua Alameda das Hortencias,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160410Rua Aleixo de Abreu,51160410,Rua Aleixo de Abreu,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160420Rua Alfredo Marcondes,51160420,Rua Alfredo Marcondes,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160450Rua Marcondes Freire,51160450,Rua Marcondes Freire,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51160460Avenida Dom Joao VI,51160460,Avenida Dom Joao VI,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51170000Avenida Marechal Mascarenhas de Moraes,51170000,Avenida Marechal Mascarenhas de Moraes,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51170020Rua Achiles Marques,51170020,Rua Achiles Marques,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51170030Rua Julio Verne,51170030,Rua Julio Verne,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51170040Rua Carlos Rios,51170040,Rua Carlos Rios,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
51170060Rua Alvaro Amorim,51170060,Rua Alvaro Amorim,Imbiribeira,Regiao Politico-Administrativa,RPA 06 | Sul,Recife,Pernambuco
